,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
246,Will & Ariel Durant Branch Library,Library,90046,4,completed,90291,12/19/2000,"$20,000 ","$20,000 ",12/19/2000,1/17/01; 04/16/01,6/2/2004,"4,787","40,807","1,708","2,642","1,813",160,42,"7,704","23,874","11,712","6,605",NA,NA,"58,888.16",NA,,136,90046,Library,4,completed,90291,12/19/2000,"$20,000 ","$20,000 ",12/19/2000,1/17/01; 04/16/01,6/2/2004,Los Angeles (Mt Olympus)/West Hollywood,"1,016,250","1,034,050","1,232,050","1,406,850","1,554,300",Library,90046,4,completed,90291,12/19/2000,"$20,000 ","$20,000 ",12/19/2000,1/17/01; 04/16/01,6/2/2004,2004,Los Angeles,Los Angeles,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Library
247,Will & Ariel Durant Branch Library [#2],Library,90046,4,completed,90026,2/18/2009,"$20,000 ","$20,000 ",2/18/2009,3/17/2009,2/17/2012,"4,787","40,807","1,708","2,642","1,813",160,42,"7,704","23,874","11,712","6,605",NA,NA,"58,888.16",NA,,135,90046,Library,4,completed,90026,2/18/2009,"$20,000 ","$20,000 ",2/18/2009,3/17/2009,2/17/2012,Los Angeles (Mt Olympus)/West Hollywood,"1,016,250","1,034,050","1,232,050","1,406,850","1,554,300",Library,90046,4,completed,90026,2/18/2009,"$20,000 ","$20,000 ",2/18/2009,3/17/2009,2/17/2012,2012,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
248,Wilshire Police Station,Police,90019,10,completed,90019,9/16/1994,"$150,000 ","$150,000 ",11/1/1995,,3/31/1999,"29,701","19,321","15,249","10,149","3,108",577,59,"20,339","23,532","15,899","7,087",NA,NA,"38,673.58",NA,,54,90019,Police,10,completed,90019,9/16/1994,"$150,000 ","$150,000 ",11/1/1995,,3/31/1999,Los Angeles (Mid City/Country Club Park),"568,700","582,500","710,400","810,100","864,950",Police,90019,10,completed,90019,9/16/1994,"$150,000 ","$150,000 ",11/1/1995,,3/31/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
249,Wilt Chamberlain Memorial Plaque,Rec+Parks,90016,10,completed,90069,8/1/2001,"$26,450 ","$23,000 ",8/1/2001,N/A,7/23/2002,"25,462","11,653","17,829","1,473","2,375",429,54,"17,324","16,059","11,210","4,768",NA,NA,"38,673.58",NA,,44,90016,Rec+Parks,10,completed,90069,8/1/2001,"$26,450 ","$23,000 ",8/1/2001,N/A,7/23/2002,Los Angeles (Mid-City),"305,650","316,650","398,050","444,950","490,950",Rec+Parks,90016,10,completed,90069,8/1/2001,"$26,450 ","$23,000 ",8/1/2001,N/A,7/23/2002,2002,Los Angeles,Los Angeles,Los Angeles,West Hollywood,0,Los Angeles,City Artist,Local,Recreation
250,Winnetka Child Care Center,Rec+Parks,91306,3,completed,92870,9/21/2001,"$9,100 ","$8,500 ",9/21/2001,1/9/2002,11/19/2003,"21,370","22,146","2,083","8,048","2,395",263,55,"15,469","15,384","11,289","4,580",NA,NA,"65,860.47",NA,,184,91306,Rec+Parks,3,completed,92870,9/21/2001,"$9,100 ","$8,500 ",9/21/2001,1/9/2002,11/19/2003,Los Angeles (Winnetka),"334,700","339,100","408,100","449,000","460,800",Rec+Parks,91306,3,completed,92870,9/21/2001,"$9,100 ","$8,500 ",9/21/2001,1/9/2002,11/19/2003,2003,Winnetka,San Fernando Valley,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Adult/Childcare and Development
251,Winnetka St. Bridge over LA River,BIP,91306,3,completed,90039,9/22/2003,"$8,400 ","$6,000 ",N/A,4/26/2007,,"21,370","22,146","2,083","8,048","2,395",263,55,"15,469","15,384","11,289","4,580",NA,NA,"65,860.47",NA,,185,91306,BIP,3,completed,90039,9/22/2003,"$8,400 ","$6,000 ",N/A,4/26/2007,,Los Angeles (Winnetka),"334,700","339,100","408,100","449,000","460,800",BIP,91306,3,completed,90039,9/22/2003,"$8,400 ","$6,000 ",N/A,4/26/2007,,,Winnetka,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
252,Winnick Family Children's Zoo,Zoo,90027,4,completed,87305,11/9/2000,"$252,000 ","$252,000 ",11/9/2000,Dec-00,9/12/2001,"9,568","31,535","1,412","5,993","2,056",203,36,"9,309","19,757","11,304","6,277",NA,NA,"58,888.16",NA,,67,90027,Zoo,4,completed,87305,11/9/2000,"$252,000 ","$252,000 ",11/9/2000,Dec-00,9/12/2001,Los Angeles (Griffith Park/Los Feliz),"982,500","1,016,100","1,147,250","1,317,600","1,404,350",Zoo,90027,4,completed,87305,11/9/2000,"$252,000 ","$252,000 ",11/9/2000,Dec-00,9/12/2001,2001,Los Angeles,Los Angeles,Los Angeles,New Mexico,New Mexico,New Mexico,Not Local,Out of State,Recreation
253,Woodland Hills Branch Library,Library,91367,3,completed,90036,9/26/2000,"$20,000 ","$20,000 ",9/26/2000,12/5/2000,,"4,375","29,153","1,824","4,882","1,979",152,56,"10,315","13,168","11,020","6,517",NA,NA,"65,860.47",NA,,229,91367,Library,3,completed,90036,9/26/2000,"$20,000 ","$20,000 ",9/26/2000,12/5/2000,,Los Angeles (Woodland Hills),"549,450","555,850","677,250","716,950","731,900",Library,91367,3,completed,90036,9/26/2000,"$20,000 ","$20,000 ",9/26/2000,12/5/2000,,,Woodland Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
254,Woodland Hills Fire Station No. 84,Fire,91367,3,completed,90045,1/15/2008,"$56,000 ","$48,000 ",1/15/2008,n/a,9/14/2009,"4,375","29,153","1,824","4,882","1,979",152,56,"10,315","13,168","11,020","6,517",NA,NA,"65,860.47",NA,,228,91367,Fire,3,completed,90045,1/15/2008,"$56,000 ","$48,000 ",1/15/2008,n/a,9/14/2009,Los Angeles (Woodland Hills),"549,450","555,850","677,250","716,950","731,900",Fire,91367,3,completed,90045,1/15/2008,"$56,000 ","$48,000 ",1/15/2008,n/a,9/14/2009,2009,Woodland Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
255,Woodland Hills Recreation Center,Rec+Parks,91367,3,active,91202,4/2/2014,"$95,000 ","$75,000 ",4/2/2014,8/6/2015,,"4,375","29,153","1,824","4,882","1,979",152,56,"10,315","13,168","11,020","6,517",NA,NA,"65,860.47",NA,,227,91367,Rec+Parks,3,active,91202,4/2/2014,"$95,000 ","$75,000 ",4/2/2014,8/6/2015,,Los Angeles (Woodland Hills),"549,450","555,850","677,250","716,950","731,900",Rec+Parks,91367,3,active,91202,4/2/2014,"$95,000 ","$75,000 ",4/2/2014,8/6/2015,,,Woodland Hills,San Fernando Valley,Los Angeles,Glendale,Glendale,Los Angeles,City Artist,Local,Recreation
256,Y.O.U Alternative High School,CDD,90044,8,completed,90305,1/1/1996,"$30,000 ","$30,000 ",1/1/1996,10/11/1996,7/22/2002,"54,351","20,135","33,656",338,"3,566",666,81,"39,807","28,605","17,957","6,566",NA,NA,"30,989.52",NA,,108,90044,CDD,8,completed,90305,1/1/1996,"$30,000 ","$30,000 ",1/1/1996,10/11/1996,7/22/2002,Los Angeles (South L.A.),"205,450","206,750","245,700","293,200","319,250",CDD,90044,8,completed,90305,1/1/1996,"$30,000 ","$30,000 ",1/1/1996,10/11/1996,7/22/2002,2002,Los Angeles,Los Angeles,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Adult/Childcare and Development
257,Yosemite Park Recreation Center,Rec+Parks,90041,14,completed,90039,9/6/2000,"$16,000 ","$14,000 ",9/6/2000,,11/25/2003,"9,869","13,477",612,"7,778","1,447",204,29,"8,577","8,594","7,269","3,901",NA,NA,"38,032.33",NA,,100,90041,Rec+Parks,14,completed,90039,9/6/2000,"$16,000 ","$14,000 ",9/6/2000,,11/25/2003,Los Angeles (Eagle Rock),"470,000","484,750","590,450","648,250","691,050",Rec+Parks,90041,14,completed,90039,9/6/2000,"$16,000 ","$14,000 ",9/6/2000,,11/25/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
